,name,year,size,HardMark,SSD_HDD,price
268,PLEXTOR PX-AG512M6e,20Sep,476.9,5530.0,1,452.9
269,PLEXTOR PX-G128M6e,20Jul,119.2,3987.0,1,159.2
270,PLEXTOR PX-G256M6e,20Jul,238.5,4981.0,1,293.6
271,PLEXTOR PX-G512M6e,20Jul,476.9,5345.0,1,416.9
272,PNY CS1311 120GB SSD,20Feb,111.8,2719.0,1,76.1
273,PNY CS1311 960GB SSD,20Apr,894.3,4138.0,1,282.6
274,PNY CS2211 240GB SSD,20Feb,223.6,3049.0,1,79.9
275,PNY CS3030 1TB SSD,20Apr,931.5,24643.0,1,145.9
276,PNY CS3030 250GB SSD,20Apr,232.9,11659.0,1,67.9
277,PNY CS3030 500GB SSD,20Apr,465.8,17713.0,1,86.99
278,PNY CS900 120GB,20Sep,111.8,2246.0,1,31.9
279,PNY CS900 120GB SSD,20Oct,111.8,2873.0,1,29.99
280,PNY CS900 240GB,20Nov,223.6,3905.0,1,41.9
281,PNY CS900 240GB SSD,20Oct,223.6,3249.0,1,42.99
282,PNY CS900 480GB SSD,20Jul,447.1,3113.0,1,75.99
283,PNY CS900 960GB SSD,20Sep,894.3,3542.0,1,92.9
284,QUANTUM FIREBALLlct20 40,20Mar,12.8,124.0,0,69.9
285,Radeon R3 SSD R3SL120G,20May,111.8,3293.0,1,39.9
286,Radeon R3 SSD R3SL240G,20May,223.6,3690.0,1,64.9
287,REALSSD C300 2.5,20Oct,119.2,1572.0,1,290.7
288,SAMSUNG 128GB MZ7PA128HMCD,20Sep,119.2,1664.0,1,15.7
289,SAMSUNG 256GB MZ7PC256HAFU,20Nov,238.5,2950.0,1,70.3
290,SAMSUNG 256GB MZMPC256HBGJ,20Nov,238.5,2801.0,1,74.9
291,SAMSUNG 470 Series SSD,20Sep,119.2,1570.0,1,249.0
292,SAMSUNG 64GB,20Nov,59.6,1367.0,1,34.9
293,SAMSUNG HD080HJ,20Dec,74.5,348.0,0,29.9
294,SAMSUNG HD083GJ,20May,74.4,544.0,0,33.7
295,SAMSUNG HD103SI,20Apr,931.5,639.0,0,50.8
296,SAMSUNG HD103SJ,20Sep,931.5,877.0,0,78.99
297,SAMSUNG HD103UJ,20Nov,931.5,653.0,0,64.0
298,SAMSUNG HD105SI,20Apr,921.7,687.0,0,70.5
