,name,year,TDP,Price,G3D_Mark,G2D_Mark
367,GeForce 7600 GS,2012,-1.0,175.0,201.0,94.0
368,RADEON HD7450,2014,-1.0,22.2,199.0,215.0
369,Radeon HD 6450,2011,18.0,52.99,195.0,113.0
370,Quadro FX 1500,2009,65.0,115.0,183.0,196.0
371,FireGL V3600,2009,-1.0,160.9,180.0,399.0
372,FirePro 3D V3700,2011,32.0,84.9,179.0,466.0
373,Quadro 400,2011,32.0,39.9,173.0,276.0
374,Radeon HD 7340,2012,-1.0,552.6,172.0,79.0
375,Quadro FX 580,2009,40.0,68.8,170.0,262.0
376,GeForce 315,2010,33.0,32.9,164.0,214.0
377,GeForce 7600 GT,2009,-1.0,84.9,164.0,159.0
378,RADEON HD 6350,2011,19.1,35.9,158.0,257.0
379,Radeon HD 6320,2011,45.0,554.9,151.0,36.0
380,Quadro FX 3450,2009,83.0,119.9,149.0,235.0
381,GeForce 9500 GT,2009,50.0,85.9,146.0,123.0
382,NVS 300,2011,17.5,14.0,142.0,352.0
383,Radeon R5 220,2015,19.0,85.2,142.0,102.0
384,GeForce 405,2011,-1.0,24.6,138.0,240.0
385,GeForce 310,2010,30.5,108.3,136.0,207.0
386,EAH5450,2017,-1.0,109.9,134.0,216.0
387,FireGL V7300,2009,-1.0,1189.9,128.0,322.0
388,Quadro FX 1700,2009,42.0,27.5,122.0,159.0
389,Radeon HD 2400,2012,-1.0,24.8,121.0,298.0
390,GeForce 8400 GS,2012,40.0,49.9,118.0,145.0
391,FireMV 2260,2011,15.0,104.9,117.0,488.0
392,Quadro FX 570,2009,38.0,74.9,115.0,401.0
393,Quadro FX 560,2009,30.0,150.2,114.0,360.0
394,GeForce 6800,2009,-1.0,39.9,113.0,258.0
395,GeForce 8600 GT,2012,47.0,189.0,113.0,165.0
396,FireGL V7350,2011,-1.0,19.9,111.0,344.0
397,GeForce G210,2009,-1.0,63.1,111.0,148.0
398,Quadro FX 380,2012,34.0,72.5,111.0,279.0
399,GeForce 7300 GT,2009,-1.0,149.9,110.0,165.0
400,Quadro FX 1400,2011,70.0,245.0,104.0,294.0
401,Radeon HD 4350,2012,20.0,149.9,102.0,85.0
402,GeForce 6600 GT,2010,-1.0,64.9,101.0,279.0
403,GeForce 8400,2009,-1.0,589.9,101.0,314.0
404,GeForce 9400 GT,2010,50.0,165.0,99.0,148.0
405,GeForce G100,2012,-1.0,19.9,99.0,356.0
406,Quadro NVS 420,2009,-1.0,335.2,99.0,534.0
407,GeForce 9300GE,2009,-1.0,18.0,98.0,367.0
408,Radeon 3000,2012,-1.0,319.0,98.0,414.0
409,GeForce 210,2009,30.5,38.97,97.0,104.0
410,GeForce 8300,2009,-1.0,22.6,92.0,330.0
411,GeForce 9300 GS,2009,-1.0,59.9,92.0,324.0
412,Quadro NVS 290,2009,-1.0,45.0,91.0,401.0
413,Quadro NVS 295,2009,23.0,71.38,91.0,303.0
414,Radeon X1650 Pro,2010,44.0,160.8,85.0,241.0
415,Quadro FX 370,2009,35.0,125.0,84.0,385.0
416,GeForce 9300M GS,2009,13.0,19.9,83.0,182.0
417,GeForce 8400M GS,2009,11.0,14.9,82.0,249.0
418,Quadro FX 540,2009,35.0,59.9,81.0,294.0
419,GeForce 9300 GE,2009,-1.0,22.9,79.0,241.0
420,Radeon 3100,2012,-1.0,164.99,74.0,228.0
421,Radeon HD 3450,2011,25.0,44.9,74.0,103.0
422,Quadro NVS 450,2009,-1.0,139.9,73.0,345.0
423,ION,2009,-1.0,229.9,71.0,70.0
424,GeForce 6600,2009,-1.0,149.9,70.0,169.0
425,Quadro FX 3000,2009,-1.0,166.6,69.0,178.0
426,Radeon X1550,2009,27.0,113.0,67.0,253.0
427,Quadro FX 550,2009,25.0,149.0,64.0,325.0
428,Radeon 2100,2009,-1.0,121.0,60.0,286.0
429,RADEON 9800,2010,-1.0,210.5,58.0,191.0
430,Radeon X1300,2009,-1.0,16.9,58.0,237.0
431,GeForce 7300 LE,2012,-1.0,32.0,56.0,285.0
432,FirePro 2450,2010,36.0,278.0,51.0,482.0
433,FireMV 2250,2009,-1.0,105.9,46.0,290.0
434,GeForce 6200,2009,-1.0,39.9,44.0,163.0
