,name,year,TDP,Price,CPU_Mark,Thread_Mark
371,AMD FX-8320E Eight-Core,2014,95.0,162.99,5003,1361
372,AMD Opteron 6238,2014,115.0,349.89,5199,1165
373,AMD Athlon X4 840,2015,65.0,78.7,3170,1444
374,AMD Opteron 4162 EE,2015,35.0,19.9,3167,587
375,AMD A8-7650K,2015,65.0,148.68,2874,1317
376,AMD Opteron 6378,2015,115.0,1295.0,5853,1114
377,AMD Opteron 6380,2015,115.0,49.1,6488,1203
378,AMD Athlon II X4 638 Quad-Core,2015,65.0,26.4,2030,1176
379,AMD A10-7870K,2015,95.0,226.9,3620,1606
380,AMD A8-7670K,2015,95.0,89.95,3360,1530
381,AMD Opteron 4332 HE,2015,65.0,36.99,3692,1330
382,AMD PRO A4-8350B,2016,65.0,17.95,1805,1599
383,AMD A10-7860K,2016,65.0,149.95,3268,1502
384,AMD Athlon X4 845,2016,65.0,53.1,3819,1682
385,AMD Athlon X4 870K,2016,95.0,79.9,3473,1586
386,AMD Opteron 4334,2016,95.0,128.6,3925,1253
387,AMD A10-7890K,2016,95.0,199.9,3624,1640
388,AMD Athlon 5370 APU,2016,25.0,598.68,1771,727
389,AMD Athlon X4 880K,2016,95.0,99.9,3705,1642
390,AMD A6-7470K,2016,65.0,238.74,1817,1629
391,AMD PRO A10-9700E,2016,35.0,139.0,3267,1544
392,AMD PRO A8-9600,2016,65.0,119.0,3445,1520
393,AMD A12-9800,2016,65.0,130.0,3646,1761
394,AMD PRO A10-9700,2016,65.0,169.0,3620,1652
395,AMD A10-9700,2016,65.0,88.99,3443,1599
396,AMD A6-9500,2016,65.0,58.99,1795,1620
397,AMD PRO A12-9800,2017,65.0,169.0,4001,1814
398,AMD PRO A12-9800E,2017,35.0,169.0,3106,1542
399,AMD PRO A6-9500,2017,65.0,74.0,1935,1685
400,AMD PRO A6-9500E,2017,35.0,74.0,1606,1499
401,AMD Ryzen 7 1800X,2017,95.0,285.43,16229,2163
402,AMD Ryzen 5 1600,2017,65.0,104.99,12525,2111
403,AMD Ryzen 7 1700,2017,65.0,279.86,14508,1984
404,AMD Ryzen 7 1700X,2017,95.0,249.99,15649,2076
405,AMD A8-9600,2017,65.0,72.31,3327,1495
406,AMD Ryzen 5 1400,2017,65.0,186.86,7971,1940
