,name,size,latency,readRate,writeRate,Price,RAMmark
43,Corsair CMD32GX4M4B2400C10 8GB,8,24.0,15.5,11.3,639.9,865.7629711355833
44,Corsair CMD32GX4M4B3000C15 8GB,8,27.0,15.0,12.0,249.9,770.328363165185
45,Corsair CMD32GX4M4B3200C16 8GB,8,27.66666667,17.6,13.1,379.9,752.66616629173
46,Corsair CMD32GX4M4B3333C16 8GB,8,24.0,16.3,12.5,799.9,866.2386976511832
47,Corsair CMD32GX4M4B3466C16 8GB,8,22.0,15.7,17.2,644.5,945.6356181442183
48,Corsair CMD32GX4M4B3600C16 8GB,8,20.0,18.7,15.0,897.6,1039.3388813209
49,Corsair CMD32GX4M4C3000C15 8GB,8,37.66666667,13.9,11.8,699.9,553.6244394003832
50,Corsair CMD32GX4M4C3200C16 8GB,8,26.0,18.5,14.8,289.9,801.1174819881538
51,Corsair CMD32GX4M4C3200C16-R 8GB,8,25.0,18.7,14.7,369.9,832.8743482858999
52,Corsair CMD64GX4M4A2400C14 16GB,16,26.0,15.3,11.2,489.9,799.5530411757538
53,Corsair CMD64GX4M4A2666C15 16GB,16,25.0,15.8,11.9,369.9,831.5870239481
54,Corsair CMD64GX4M4B2800C14 16GB,16,25.0,15.0,11.6,479.9,831.3651463699999
55,Corsair CMD64GX4M4B3000C15 16GB,16,24.0,16.5,12.4,459.9,866.2448075300832
56,Corsair CMD64GX4M4B3333C16 16GB,16,26.0,15.0,11.4,958.0,799.5579790761537
57,Corsair CMD64GX4M4B3466C16 16GB,16,23.0,16.9,12.7,849.9,903.7857205482999
58,Corsair CMD64GX4M4C3000C15 16GB,16,23.0,17.8,13.5,417.8,904.1657829720999
59,Corsair CMD64GX4M4C3200C16 16GB,16,25.0,16.6,13.8,429.9,832.2601885262
60,Corsair CMD64GX4M8A2400C14 8GB,8,28.0,12.9,10.6,894.8,742.2742454345856
61,Corsair CMD64GX4M8A2666C15 8GB,8,28.0,13.4,10.9,728.9,742.4446500380856
62,Corsair CMD64GX4M8B2800C14 8GB,8,26.0,14.4,11.0,699.8,799.3422113769539
63,Corsair CMD64GX4M8B3200C16 8GB,8,26.0,14.8,11.0,549.9,799.4108420097539
64,Corsair CMD64GX4M8X4000C19 8GB,8,27.0,12.2,15.9,899.9,770.9479607980851
65,Corsair CMD128GX4M8A2400C14 16GB,16,32.0,12.1,9.1,999.9,649.5800112125124
66,Corsair CMD128GX4M8A2666C15 16GB,16,26.0,14.1,9.9,879.9,798.9804785898538
67,Corsair CMD128GX4M8B2800C14 16GB,16,27.0,14.8,10.6,969.9,769.8991717237851
68,Corsair CMD128GX4M8B3000C16 16GB,16,26.0,14.8,10.2,977.7,799.185198509754
69,Corsair CMD128GX4M8B3200C16 16GB,16,31.0,12.2,12.1,999.9,671.2477590846742
70,Corsair CMK4GX4M1A2400C14 4GB,4,29.0,16.5,11.9,26.9,717.8423459154999
71,Corsair CMK4GX4M1A2400C16 4GB,4,24.0,15.7,11.1,26.9,865.7408755769833
72,Corsair CMK4GX4M1D2400C14 4GB,4,72.0,15.4,7.8,69.9,291.4810767134945
73,Corsair CMK8GX4M1A2400C14 8GB,8,33.44444444,15.0,10.4,36.9,622.589821787918
74,Corsair CMK8GX4M1A2400C16 8GB,8,30.53333333,15.9,11.0,37.9,681.7474236773717
75,Corsair CMK8GX4M1A2666C16 8GB,8,29.53333333,17.3,12.2,37.9,705.2126680826296
76,Corsair CMK8GX4M1D3000C16 8GB,8,28.46153846,17.2,12.3,37.9,731.5390123843928
77,Corsair CMK8GX4M2A2133C13 4GB,4,30.85714286,16.5,12.3,43.9,675.1240865468588
78,Corsair CMK8GX4M2A2400C14 4GB,4,23.0,16.4,11.8,68.3,903.4460833198
79,Corsair CMK8GX4M2A2400C16 4GB,4,30.5,16.0,11.8,44.9,682.7289316009344
80,Corsair CMK8GX4M2A2666C16 4GB,4,31.77777778,16.5,12.3,48.9,655.7475727555735
81,Corsair CMK8GX4M2A2800C16 4GB,4,22.0,17.4,13.1,68.9,944.7708753961182
82,Corsair CMK8GX4M2B3000C15 4GB,4,30.28571429,17.5,12.9,237.7,688.084212779607
83,Corsair CMK8GX4M2B3200C16 4GB,4,24.33333333,19.3,14.3,199.9,855.4814497763517
84,Corsair CMK8GX4M2B3600C18 4GB,4,19.0,20.0,15.6,167.3,1094.0416679031578
85,Corsair CMK8GX4M2B3733C17 4GB,4,21.0,19.4,14.6,226.1,990.2080877681808
86,Corsair CMK8GX4M2B3866C18 4GB,4,28.0,15.8,13.4,107.9,743.5615697723856
87,Corsair CMK8GX4M2B4000C19 4GB,4,21.0,18.1,13.4,140.3,989.6465729615808
88,Corsair CMK8GX4M2B4200C19 4GB,4,44.0,14.7,10.1,438.3,474.4161902213091
89,Corsair CMK8GX4M2C3000C16 4GB,4,22.0,17.5,13.9,96.9,945.0136765543182
90,Corsair CMK8GX4M2D2666C16 4GB,4,23.0,17.4,12.8,119.9,903.8997142767998
91,Corsair CMK16GX4M1A2400C14 16GB,16,32.33333333,15.2,10.4,72.9,643.8297318467389
92,Corsair CMK16GX4M1A2400C16 16GB,16,33.5,14.9,9.2,71.9,621.210844224785
93,Corsair CMK16GX4M1A2666C16 16GB,16,23.0,16.2,10.0,73.9,902.9040701283999
94,Corsair CMK16GX4M1B3000C15 16GB,16,33.0,14.6,8.1,81.9,630.1833455725788
95,Corsair CMK16GX4M1C3000C16 16GB,16,21.0,18.4,9.8,383.9,988.6826501861808
96,Corsair CMK16GX4M1D3000C16 16GB,16,30.71428571,16.2,10.6,79.9,677.703929682042
97,Corsair CMK16GX4M2A2133C13 8GB,8,34.59259259,15.9,11.6,67.9,602.6013707726567
98,Corsair CMK16GX4M2A2400C14 8GB,8,32.83018868,16.5,11.9,69.9,634.8159426218821
99,Corsair CMK16GX4M2A2400C16 8GB,8,30.79487179,16.7,11.9,67.9,676.3980252284308
100,Corsair CMK16GX4M2A2666C16 8GB,8,30.89189189,17.1,12.7,69.9,674.587521610776
101,Corsair CMK16GX4M2A2800C16 8GB,8,27.5,18.4,13.6,122.9,757.4653730542544
102,Corsair CMK16GX4M2B2800C14 8GB,8,22.0,18.4,13.7,126.9,945.1116846031182
103,Corsair CMK16GX4M2B3000C15 8GB,8,28.97037037,18.1,13.6,87.9,719.3242104307657
104,Corsair CMK16GX4M2B3200C14 8GB,8,22.0,18.2,13.9,174.9,945.1337801617182
